,year,fuel_type,CO2
0,1949,Cement,
1,1950,Cement,
2,1951,Cement,
3,1952,Cement,
4,1953,Cement,
5,1954,Cement,
6,1955,Cement,
7,1956,Cement,
8,1957,Cement,
9,1958,Cement,
10,1959,Cement,0.018
11,1960,Cement,0.018
12,1961,Cement,0.022
13,1962,Cement,0.029
14,1963,Cement,0.051
15,1964,Cement,0.062
16,1965,Cement,0.084
17,1966,Cement,0.087
18,1967,Cement,0.065
19,1968,Cement,0.047
20,1969,Cement,0.051
21,1970,Cement,0.047
22,1971,Cement,0.043
23,1972,Cement,0.046
24,1973,Cement,0.067
25,1974,Cement,0.07
26,1975,Cement,0.069
27,1976,Cement,0.079
28,1977,Cement,0.065
29,1978,Cement,0.058
30,1979,Cement,0.064
31,1980,Cement,0.023
32,1981,Cement,0.033
33,1982,Cement,0.039
34,1983,Cement,0.006
35,1984,Cement,0.048
36,1985,Cement,0.032
37,1986,Cement,0.038
38,1987,Cement,0.043
39,1988,Cement,0.043
40,1989,Cement,0.043
41,1990,Cement,0.046
42,1991,Cement,0.046
43,1992,Cement,0.046
44,1993,Cement,0.047
45,1994,Cement,0.047
46,1995,Cement,0.047
47,1996,Cement,0.047
48,1997,Cement,0.047
49,1998,Cement,0.047
50,1999,Cement,0.047
51,2000,Cement,0.01
52,2001,Cement,0.007
53,2002,Cement,0.011
54,2003,Cement,0.01
55,2004,Cement,0.01
56,2005,Cement,0.006
57,2006,Cement,0.012
58,2007,Cement,0.012
59,2008,Cement,0.015
60,2009,Cement,0.013
61,2010,Cement,0.015
62,2011,Cement,0.015
63,2012,Cement,0.029
64,2013,Cement,0.036
65,2014,Cement,0.029
66,2015,Cement,0.041
67,2016,Cement,0.076
68,2017,Cement,0.045
69,2018,Cement,0.057
70,2019,Cement,0.038
71,2020,Cement,0.061
72,1884,Cement,
73,1885,Cement,
74,1886,Cement,
75,1887,Cement,
76,1888,Cement,
77,1889,Cement,
78,1890,Cement,
79,1891,Cement,
80,1892,Cement,
81,1893,Cement,
82,1894,Cement,
83,1895,Cement,
84,1896,Cement,
85,1897,Cement,
86,1898,Cement,
87,1899,Cement,
88,1900,Cement,
89,1901,Cement,
90,1902,Cement,
91,1903,Cement,
92,1904,Cement,
93,1905,Cement,
94,1906,Cement,
95,1907,Cement,
96,1908,Cement,
97,1909,Cement,
98,1910,Cement,
99,1911,Cement,
100,1912,Cement,
101,1913,Cement,
102,1914,Cement,
103,1915,Cement,
104,1916,Cement,
105,1917,Cement,
106,1918,Cement,
107,1919,Cement,
108,1920,Cement,
109,1921,Cement,
110,1922,Cement,
111,1923,Cement,
112,1924,Cement,
113,1925,Cement,
114,1926,Cement,
115,1927,Cement,
116,1928,Cement,0.127
117,1929,Cement,0.366
118,1930,Cement,0.261
119,1931,Cement,0.266
120,1932,Cement,0.432
121,1933,Cement,0.464
122,1934,Cement,0.534
123,1935,Cement,0.61
124,1936,Cement,0.691
125,1937,Cement,0.727
126,1938,Cement,0.75
127,1939,Cement,0.73
128,1940,Cement,0.653
129,1941,Cement,0.72
130,1942,Cement,0.77
131,1943,Cement,0.809
132,1944,Cement,0.969
133,1945,Cement,0.937
134,1946,Cement,1.144
135,1947,Cement,1.281
136,1948,Cement,1.424
137,1949,Cement,1.532
138,1950,Cement,2.014
139,1951,Cement,2.269
140,1952,Cement,2.327
141,1953,Cement,2.637
142,1954,Cement,3.041
143,1955,Cement,3.409
144,1956,Cement,3.517
145,1957,Cement,3.681
146,1958,Cement,3.989
147,1959,Cement,4.189
148,1960,Cement,4.399
149,1961,Cement,4.3
150,1962,Cement,4.461
151,1963,Cement,4.798
152,1964,Cement,5.318
153,1965,Cement,5.691
154,1966,Cement,5.841
155,1967,Cement,5.964
156,1968,Cement,6.857
157,1969,Cement,7.895
158,1970,Cement,8.596
159,1971,Cement,9.245
160,1972,Cement,9.765
161,1973,Cement,10.334
162,1974,Cement,10.811
163,1975,Cement,10.938
164,1976,Cement,11.198
165,1977,Cement,11.93
166,1978,Cement,12.591
167,1979,Cement,13.488
168,1980,Cement,14.691
169,1981,Cement,15.963
170,1982,Cement,17.035
171,1983,Cement,18.71
172,1984,Cement,19.426
173,1985,Cement,19.124
174,1986,Cement,18.342
175,1987,Cement,19.937
176,1988,Cement,21.575
177,1989,Cement,22.543
178,1990,Cement,22.801
179,1991,Cement,24.426
180,1992,Cement,24.904
181,1993,Cement,24.609
182,1994,Cement,25.111
183,1995,Cement,27.083
184,1996,Cement,27.681
185,1997,Cement,28.35
186,1998,Cement,29.203
187,1999,Cement,30.311
188,2000,Cement,31.51
189,2001,Cement,32.908
190,2002,Cement,35.231
191,2003,Cement,35.508
192,2004,Cement,38.17
193,2005,Cement,41.9
194,2006,Cement,45.788
195,2007,Cement,48.967
196,2008,Cement,51.222
197,2009,Cement,57.625
198,2010,Cement,59.085
199,2011,Cement,58.875
200,2012,Cement,63.528
201,2013,Cement,65.929
202,2014,Cement,69.852
203,2015,Cement,73.106
204,2016,Cement,77.335
205,2017,Cement,76.797
206,2018,Cement,79.893
207,2019,Cement,78.56
208,2020,Cement,77.025
209,1933,Cement,
210,1934,Cement,
211,1935,Cement,
212,1936,Cement,0.004
213,1937,Cement,0.007
214,1938,Cement,
215,1939,Cement,
216,1940,Cement,
217,1941,Cement,0.007
218,1942,Cement,
219,1943,Cement,
220,1944,Cement,
221,1945,Cement,
222,1946,Cement,
223,1947,Cement,
224,1948,Cement,
225,1949,Cement,
226,1950,Cement,0.007
227,1951,Cement,0.007
228,1952,Cement,0.007
229,1953,Cement,0.007
230,1954,Cement,0.007
231,1955,Cement,0.022
232,1956,Cement,0.033
233,1957,Cement,0.037
234,1958,Cement,0.04
235,1959,Cement,0.037
236,1960,Cement,0.037
237,1961,Cement,0.059
238,1962,Cement,0.059
239,1963,Cement,0.066
240,1964,Cement,0.062
241,1965,Cement,0.073
242,1966,Cement,0.07
243,1967,Cement,0.11
244,1968,Cement,0.15
245,1969,Cement,0.165
246,1970,Cement,0.18
247,1971,Cement,0.18
248,1972,Cement,0.198
249,1973,Cement,0.256
250,1974,Cement,0.279
251,1975,Cement,0.322
252,1976,Cement,0.348
253,1977,Cement,0.373
254,1978,Cement,0.4
255,1979,Cement,0.421
256,1980,Cement,0.498
257,1981,Cement,0.392
258,1982,Cement,0.414
259,1983,Cement,0.418
260,1984,Cement,0.429
261,1985,Cement,0.425
262,1986,Cement,0.421
263,1987,Cement,0.429
264,1988,Cement,0.37
265,1989,Cement,0.377
266,1990,Cement,0.308
267,1991,Cement,0.245
268,1992,Cement,0.081
269,1993,Cement,0.08
270,1994,Cement,0.04
271,1995,Cement,0.081
272,1996,Cement,0.081
273,1997,Cement,0.04
274,1998,Cement,0.033
275,1999,Cement,0.044
276,2000,Cement,0.073
277,2001,Cement,
278,2002,Cement,
279,2003,Cement,0.231
280,2004,Cement,0.227
281,2005,Cement,0.194
282,2006,Cement,0.209
283,2007,Cement,0.348
284,2008,Cement,0.359
285,2009,Cement,0.432
286,2010,Cement,0.502
287,2011,Cement,0.692
288,2012,Cement,0.857
289,2013,Cement,0.769
290,2014,Cement,0.677
291,2015,Cement,0.773
292,2016,Cement,0.78
293,2017,Cement,0.78
294,2018,Cement,0.78
295,2019,Cement,0.78
296,2020,Cement,0.78
297,1916,Cement,
298,1917,Cement,
299,1918,Cement,
300,1919,Cement,
301,1920,Cement,
302,1921,Cement,
303,1922,Cement,
304,1923,Cement,
305,1924,Cement,
306,1925,Cement,
307,1926,Cement,
308,1927,Cement,
309,1928,Cement,0.025
310,1929,Cement,0.028
311,1930,Cement,0.033
312,1931,Cement,0.038
313,1932,Cement,0.044
314,1933,Cement,0.036
315,1934,Cement,0.047
316,1935,Cement,0.032
317,1936,Cement,0.033
318,1937,Cement,0.033
319,1938,Cement,
320,1939,Cement,
321,1940,Cement,
322,1941,Cement,
323,1942,Cement,
324,1943,Cement,0.04
325,1944,Cement,0.047
326,1945,Cement,0.051
327,1946,Cement,0.058
328,1947,Cement,0.062
329,1948,Cement,0.065
330,1949,Cement,0.062
331,1950,Cement,0.16
332,1951,Cement,0.222
333,1952,Cement,0.24
334,1953,Cement,0.255
335,1954,Cement,0.327
336,1955,Cement,0.334
337,1956,Cement,0.323
338,1957,Cement,0.353
339,1958,Cement,0.418
340,1959,Cement,0.472
341,1960,Cement,0.523
342,1961,Cement,0.53
343,1962,Cement,0.432
344,1963,Cement,0.436
345,1964,Cement,0.389
346,1965,Cement,0.367
347,1966,Cement,0.327
348,1967,Cement,0.36
349,1968,Cement,0.429
350,1969,Cement,0.469
351,1970,Cement,0.458
352,1971,Cement,0.476
353,1972,Cement,0.458
354,1973,Cement,0.498
355,1974,Cement,0.465
356,1975,Cement,0.469
357,1976,Cement,0.688
358,1977,Cement,0.874
359,1978,Cement,1.321
360,1979,Cement,1.841
361,1980,Cement,2.022
362,1981,Cement,2.165
363,1982,Cement,2.126
364,1983,Cement,2.318
365,1984,Cement,2.661
366,1985,Cement,2.92
367,1986,Cement,3.083
368,1987,Cement,3.591
369,1988,Cement,3.415
370,1989,Cement,3.223
371,1990,Cement,2.989
372,1991,Cement,2.969
373,1992,Cement,2.998
374,1993,Cement,2.988
375,1994,Cement,2.821
376,1995,Cement,3.165
377,1996,Cement,3.006
378,1997,Cement,3.271
379,1998,Cement,3.446
380,1999,Cement,3.435
381,2000,Cement,3.789
382,2001,Cement,3.766
383,2002,Cement,4.058
384,2003,Cement,4.032
385,2004,Cement,4.897
386,2005,Cement,5.662
387,2006,Cement,6.54
388,2007,Cement,7.001
389,2008,Cement,7.583
390,2009,Cement,8.22
391,2010,Cement,8.252
392,2011,Cement,8.187
393,2012,Cement,7.697
394,2013,Cement,7.298
395,2014,Cement,7.668
396,2015,Cement,8.062
397,2016,Cement,9.356
398,2017,Cement,10.71
399,2018,Cement,10.749
400,2019,Cement,10.749
401,2020,Cement,10.749
402,1990,Cement,
403,1991,Cement,
404,1992,Cement,
405,1993,Cement,
406,1994,Cement,
407,1995,Cement,
408,1996,Cement,
409,1997,Cement,
410,1998,Cement,
411,1999,Cement,
412,2000,Cement,
413,2001,Cement,
414,2002,Cement,
415,2003,Cement,
416,2004,Cement,
417,2005,Cement,
418,2006,Cement,
419,2007,Cement,
420,2008,Cement,
421,2009,Cement,
422,2010,Cement,
423,2011,Cement,
424,2012,Cement,
425,2013,Cement,
426,2014,Cement,
427,2015,Cement,
428,2016,Cement,
429,2017,Cement,
430,2018,Cement,
431,2019,Cement,
432,2020,Cement,
433,1950,Cement,
434,1951,Cement,
435,1952,Cement,
436,1953,Cement,0.015
437,1954,Cement,0.022
438,1955,Cement,0.036
439,1956,Cement,0.044
440,1957,Cement,0.065
441,1958,Cement,0.084
442,1959,Cement,0.076
443,1960,Cement,0.079
444,1961,Cement,0.077
445,1962,Cement,0.083
446,1963,Cement,0.094
447,1964,Cement,0.105
448,1965,Cement,0.12
449,1966,Cement,0.131
450,1967,Cement,0.138
451,1968,Cement,0.152
452,1969,Cement,0.189
453,1970,Cement,0.221
454,1971,Cement,0.261
455,1972,Cement,0.309
456,1973,Cement,0.382
457,1974,Cement,0.374
458,1975,Cement,0.323
459,1976,Cement,0.147
460,1977,Cement,0.146
461,1978,Cement,0.19
462,1979,Cement,0.187
463,1980,Cement,0.113
464,1981,Cement,0.115
465,1982,Cement,0.114
466,1983,Cement,0.099
467,1984,Cement,0.157
468,1985,Cement,0.155
469,1986,Cement,0.153
470,1987,Cement,0.151
471,1988,Cement,0.422
472,1989,Cement,0.416
473,1990,Cement,0.107
474,1991,Cement,0.107
475,1992,Cement,0.123
476,1993,Cement,0.102
477,1994,Cement,0.098
478,1995,Cement,0.081
479,1996,Cement,0.11
480,1997,Cement,0.122
481,1998,Cement,0.142
482,1999,Cement,0.084
483,2000,Cement,0.081
484,2001,Cement,0.221
485,2002,Cement,0.239
486,2003,Cement,0.28
487,2004,Cement,0.3
488,2005,Cement,0.521
489,2006,Cement,0.539
490,2007,Cement,0.542
491,2008,Cement,0.685
492,2009,Cement,0.693
493,2010,Cement,0.578
494,2011,Cement,0.765
495,2012,Cement,1.147
496,2013,Cement,1.557
497,2014,Cement,1.976
498,2015,Cement,2.03
499,2016,Cement,1.744
500,2017,Cement,0.178
501,2018,Cement,1.937
502,2019,Cement,1.937
503,2020,Cement,1.937
504,1990,Cement,
505,1991,Cement,
506,1992,Cement,
507,1993,Cement,
508,1994,Cement,
509,1995,Cement,
510,1996,Cement,
511,1997,Cement,
512,1998,Cement,
513,1999,Cement,
514,2000,Cement,
515,2001,Cement,
516,2002,Cement,
517,2003,Cement,
518,2004,Cement,
519,2005,Cement,
520,2006,Cement,
521,2007,Cement,
522,2008,Cement,
523,2009,Cement,
524,2010,Cement,
525,2011,Cement,
526,2012,Cement,
527,2013,Cement,
528,2014,Cement,
529,2015,Cement,
530,2016,Cement,
531,2017,Cement,
532,2018,Cement,
533,2019,Cement,
534,2020,Cement,
535,1980,Cement,
536,1981,Cement,
537,1982,Cement,
538,1983,Cement,
539,1984,Cement,
540,1985,Cement,
541,1986,Cement,
542,1987,Cement,
543,1988,Cement,
544,1989,Cement,
545,1990,Cement,
546,1991,Cement,
547,1992,Cement,
548,1993,Cement,
549,1994,Cement,
550,1995,Cement,
551,1996,Cement,
552,1997,Cement,
553,1998,Cement,
554,1999,Cement,
555,2000,Cement,
556,2001,Cement,
557,2002,Cement,
558,2003,Cement,
559,2004,Cement,
560,2005,Cement,
561,2006,Cement,
562,2007,Cement,
563,2008,Cement,
564,2009,Cement,
565,2010,Cement,
566,2011,Cement,
567,2012,Cement,
568,2013,Cement,
569,2014,Cement,
570,2015,Cement,
571,2016,Cement,
572,2017,Cement,
573,2018,Cement,
574,2019,Cement,
575,2020,Cement,
576,1957,Cement,
577,1958,Cement,
578,1959,Cement,
579,1960,Cement,
580,1961,Cement,
581,1962,Cement,
582,1963,Cement,
583,1964,Cement,
584,1965,Cement,
585,1966,Cement,
586,1967,Cement,
587,1968,Cement,
588,1969,Cement,
589,1970,Cement,
590,1971,Cement,
591,1972,Cement,
592,1973,Cement,
593,1974,Cement,
594,1975,Cement,
595,1976,Cement,
596,1977,Cement,
597,1978,Cement,
598,1979,Cement,
599,1980,Cement,
600,1981,Cement,
601,1982,Cement,
602,1983,Cement,
603,1984,Cement,
604,1985,Cement,
605,1986,Cement,
606,1987,Cement,
607,1988,Cement,
608,1989,Cement,
609,1990,Cement,
610,1991,Cement,
611,1992,Cement,
612,1993,Cement,
613,1994,Cement,
614,1995,Cement,
615,1996,Cement,
616,1997,Cement,
617,1998,Cement,
618,1999,Cement,
619,2000,Cement,
620,2001,Cement,
621,2002,Cement,
622,2003,Cement,
623,2004,Cement,
624,2005,Cement,
625,2006,Cement,
626,2007,Cement,
627,2008,Cement,
628,2009,Cement,
629,2010,Cement,
630,2011,Cement,
631,2012,Cement,
632,2013,Cement,
633,2014,Cement,
634,2015,Cement,
635,2016,Cement,
636,2017,Cement,
637,2018,Cement,
638,2019,Cement,
639,2020,Cement,
640,1887,Cement,
641,1888,Cement,
642,1889,Cement,
643,1890,Cement,
644,1891,Cement,
645,1892,Cement,
646,1893,Cement,
647,1894,Cement,
648,1895,Cement,
649,1896,Cement,
650,1897,Cement,
651,1898,Cement,
652,1899,Cement,
653,1900,Cement,
654,1901,Cement,
655,1902,Cement,
656,1903,Cement,
657,1904,Cement,
658,1905,Cement,
659,1906,Cement,
660,1907,Cement,
661,1908,Cement,
662,1909,Cement,
663,1910,Cement,
664,1911,Cement,
665,1912,Cement,
666,1913,Cement,
667,1914,Cement,
668,1915,Cement,
669,1916,Cement,
670,1917,Cement,
671,1918,Cement,
672,1919,Cement,
673,1920,Cement,
674,1921,Cement,
675,1922,Cement,
676,1923,Cement,
677,1924,Cement,
678,1925,Cement,
679,1926,Cement,
680,1927,Cement,
681,1928,Cement,0.116
682,1929,Cement,0.174
683,1930,Cement,0.189
684,1931,Cement,0.265
685,1932,Cement,0.247
686,1933,Cement,0.254
687,1934,Cement,0.28
688,1935,Cement,0.356
689,1936,Cement,0.411
690,1937,Cement,0.512
691,1938,Cement,0.614
692,1939,Cement,0.556
693,1940,Cement,0.534
694,1941,Cement,0.578
695,1942,Cement,0.531
696,1943,Cement,0.472
697,1944,Cement,0.534
698,1945,Cement,0.538
699,1946,Cement,0.563
700,1947,Cement,0.673
701,1948,Cement,0.618
702,1949,Cement,0.716
703,1950,Cement,0.778
704,1951,Cement,0.77
705,1952,Cement,0.767
706,1953,Cement,0.818
707,1954,Cement,0.843
708,1955,Cement,0.923
709,1956,Cement,1.021
710,1957,Cement,1.17
711,1958,Cement,1.221
712,1959,Cement,1.17
713,1960,Cement,1.305
714,1961,Cement,1.436
715,1962,Cement,1.446
716,1963,Cement,1.254
717,1964,Cement,1.439
718,1965,Cement,1.632
719,1966,Cement,1.723
720,1967,Cement,1.756
721,1968,Cement,2.064
722,1969,Cement,2.148
723,1970,Cement,2.344
724,1971,Cement,2.736
725,1972,Cement,2.699
726,1973,Cement,2.57
727,1974,Cement,2.675
728,1975,Cement,2.714
729,1976,Cement,2.841
730,1977,Cement,2.987
731,1978,Cement,3.148
732,1979,Cement,3.327
733,1980,Cement,3.562
734,1981,Cement,3.323
735,1982,Cement,2.815
736,1983,Cement,2.818
737,1984,Cement,2.618
738,1985,Cement,2.325
739,1986,Cement,2.789
740,1987,Cement,3.169
741,1988,Cement,3.047
742,1989,Cement,2.253
743,1990,Cement,1.822
744,1991,Cement,2.196
745,1992,Cement,2.495
746,1993,Cement,2.761
747,1994,Cement,3.05
748,1995,Cement,2.621
749,1996,Cement,2.422
750,1997,Cement,3.169
751,1998,Cement,3.283
752,1999,Cement,3.29
753,2000,Cement,2.771
754,2001,Cement,2.481
755,2002,Cement,1.729
756,2003,Cement,2.28
757,2004,Cement,2.701
758,2005,Cement,3.241
759,2006,Cement,3.764
760,2007,Cement,3.998
761,2008,Cement,3.99
762,2009,Cement,3.81
763,2010,Cement,4.178
764,2011,Cement,4.586
765,2012,Cement,4.184
766,2013,Cement,4.581
767,2014,Cement,4.336
768,2015,Cement,4.571
769,2016,Cement,4.029
770,2017,Cement,4.421
771,2018,Cement,4.378
772,2019,Cement,4.097
773,2020,Cement,3.649
774,1830,Cement,
775,1831,Cement,
776,1832,Cement,
777,1833,Cement,
778,1834,Cement,
779,1835,Cement,
780,1836,Cement,
781,1837,Cement,
782,1838,Cement,
783,1839,Cement,
784,1840,Cement,
785,1841,Cement,
786,1842,Cement,
787,1843,Cement,
788,1844,Cement,
789,1845,Cement,
790,1846,Cement,
791,1847,Cement,
792,1848,Cement,
793,1849,Cement,
794,1850,Cement,
795,1851,Cement,
796,1852,Cement,
797,1853,Cement,
798,1854,Cement,
799,1855,Cement,
800,1856,Cement,
801,1857,Cement,
802,1858,Cement,
803,1859,Cement,
804,1860,Cement,
805,1861,Cement,
806,1862,Cement,
807,1863,Cement,
808,1864,Cement,
809,1865,Cement,
810,1866,Cement,
811,1867,Cement,
812,1868,Cement,
813,1869,Cement,
814,1870,Cement,
815,1871,Cement,
816,1872,Cement,
817,1873,Cement,
818,1874,Cement,
819,1875,Cement,
820,1876,Cement,
821,1877,Cement,
822,1878,Cement,
823,1879,Cement,
824,1880,Cement,
825,1881,Cement,
826,1882,Cement,
827,1883,Cement,
828,1884,Cement,
829,1885,Cement,
830,1886,Cement,
831,1887,Cement,
832,1888,Cement,
833,1889,Cement,
834,1890,Cement,
835,1891,Cement,
836,1892,Cement,
837,1893,Cement,
838,1894,Cement,
839,1895,Cement,
840,1896,Cement,
841,1897,Cement,
842,1898,Cement,
843,1899,Cement,
844,1900,Cement,
845,1901,Cement,
846,1902,Cement,
847,1903,Cement,
848,1904,Cement,
849,1905,Cement,
850,1906,Cement,
851,1907,Cement,
852,1908,Cement,
853,1909,Cement,
854,1910,Cement,
855,1911,Cement,
856,1912,Cement,
857,1913,Cement,
858,1914,Cement,
859,1915,Cement,
860,1916,Cement,
861,1917,Cement,
862,1918,Cement,
863,1919,Cement,
864,1920,Cement,
865,1921,Cement,
866,1922,Cement,
867,1923,Cement,
868,1924,Cement,
869,1925,Cement,
870,1926,Cement,
871,1927,Cement,
872,1928,Cement,0.004
873,1929,Cement,0.005
874,1930,Cement,0.006
875,1931,Cement,0.006
876,1932,Cement,0.007
877,1933,Cement,0.005
878,1934,Cement,0.007
879,1935,Cement,0.009
880,1936,Cement,0.011
881,1937,Cement,0.01
882,1938,Cement,0.011
883,1939,Cement,0.011
884,1940,Cement,0.011
885,1941,Cement,0.011
886,1942,Cement,
887,1943,Cement,
888,1944,Cement,
889,1945,Cement,0.003
890,1946,Cement,0.007
891,1947,Cement,0.009
892,1948,Cement,0.013
893,1949,Cement,0.016
894,1950,Cement,0.02
895,1951,Cement,0.024
896,1952,Cement,0.027
897,1953,Cement,0.031
898,1954,Cement,0.037
899,1955,Cement,0.044
900,1956,Cement,0.049
901,1957,Cement,0.057
902,1958,Cement,0.065
903,1959,Cement,0.076
904,1960,Cement,0.09
905,1961,Cement,0.1
906,1962,Cement,0.113
907,1963,Cement,0.121
908,1964,Cement,0.128
909,1965,Cement,0.143
910,1966,Cement,0.159
911,1967,Cement,0.168
912,1968,Cement,0.174
913,1969,Cement,0.179
914,1970,Cement,0.19
915,1971,Cement,0.203
916,1972,Cement,0.214
917,1973,Cement,0.228
918,1974,Cement,0.243
919,1975,Cement,0.261
920,1976,Cement,0.266
921,1977,Cement,0.272
922,1978,Cement,0.272
923,1979,Cement,0.264
924,1980,Cement,0.269
925,1981,Cement,0.275
926,1982,Cement,0.27
927,1983,Cement,0.282
928,1984,Cement,0.289
929,1985,Cement,0.292
930,1986,Cement,0.304
931,1987,Cement,0.311
932,1988,Cement,0.318
933,1989,Cement,0.322
934,1990,Cement,0.315
935,1991,Cement,0.299
936,1992,Cement,0.239
937,1993,Cement,0.12
938,1994,Cement,0.061
939,1995,Cement,0.139
940,1996,Cement,0.174
941,1997,Cement,0.184
942,1998,Cement,0.187
943,1999,Cement,0.181
944,2000,Cement,0.139
945,2001,Cement,0.144
946,2002,Cement,0.211
947,2003,Cement,0.22
948,2004,Cement,0.298
949,2005,Cement,0.331
950,2006,Cement,0.338
951,2007,Cement,0.407
952,2008,Cement,0.412
953,2009,Cement,0.241
954,2010,Cement,0.288
955,2011,Cement,0.264
956,2012,Cement,0.278
957,2013,Cement,0.259
958,2014,Cement,0.244
959,2015,Cement,0.241
960,2016,Cement,0.154
961,2017,Cement,0.205
962,2018,Cement,0.315
963,2019,Cement,0.315
964,2020,Cement,0.315
965,1926,Cement,
966,1927,Cement,
967,1928,Cement,
968,1929,Cement,
969,1930,Cement,
970,1931,Cement,
971,1932,Cement,
972,1933,Cement,
973,1934,Cement,
974,1935,Cement,
975,1936,Cement,
976,1937,Cement,
977,1938,Cement,
978,1939,Cement,
979,1940,Cement,
980,1941,Cement,
981,1942,Cement,
982,1943,Cement,
983,1944,Cement,
984,1945,Cement,
985,1946,Cement,
986,1947,Cement,
987,1948,Cement,
988,1949,Cement,
989,1950,Cement,
990,1951,Cement,
991,1952,Cement,
992,1953,Cement,
993,1954,Cement,
994,1955,Cement,
995,1956,Cement,
996,1957,Cement,
997,1958,Cement,
998,1959,Cement,
999,1960,Cement,
1000,1961,Cement,
1001,1962,Cement,
1002,1963,Cement,
1003,1964,Cement,
1004,1965,Cement,
1005,1966,Cement,
1006,1967,Cement,
1007,1968,Cement,
1008,1969,Cement,
1009,1970,Cement,
1010,1971,Cement,
1011,1972,Cement,
1012,1973,Cement,
1013,1974,Cement,
1014,1975,Cement,
1015,1976,Cement,
1016,1977,Cement,
1017,1978,Cement,
1018,1979,Cement,
1019,1980,Cement,
1020,1981,Cement,
1021,1982,Cement,
1022,1983,Cement,
1023,1984,Cement,
1024,1985,Cement,
1025,1986,Cement,
1026,1987,Cement,
1027,1988,Cement,
1028,1989,Cement,
1029,1990,Cement,
1030,1991,Cement,
1031,1992,Cement,
1032,1993,Cement,
1033,1994,Cement,
1034,1995,Cement,
1035,1996,Cement,
1036,1997,Cement,
1037,1998,Cement,
1038,1999,Cement,
1039,2000,Cement,
1040,2001,Cement,
1041,2002,Cement,
1042,2003,Cement,
1043,2004,Cement,
1044,2005,Cement,
1045,2006,Cement,
1046,2007,Cement,
1047,2008,Cement,
1048,2009,Cement,
1049,2010,Cement,
1050,2011,Cement,
1051,2012,Cement,
1052,2013,Cement,
1053,2014,Cement,
1054,2015,Cement,
1055,2016,Cement,
1056,2017,Cement,
1057,2018,Cement,
1058,2019,Cement,
1059,2020,Cement,
1060,1830,Cement,
1061,1831,Cement,
1062,1832,Cement,
1063,1833,Cement,
1064,1834,Cement,
1065,1835,Cement,
1066,1836,Cement,
1067,1837,Cement,
1068,1838,Cement,
1069,1839,Cement,
1070,1840,Cement,
1071,1841,Cement,
1072,1842,Cement,
1073,1843,Cement,
1074,1844,Cement,
1075,1845,Cement,
1076,1846,Cement,
1077,1847,Cement,
1078,1848,Cement,
1079,1849,Cement,
1080,1850,Cement,
1081,1851,Cement,
1082,1852,Cement,
1083,1853,Cement,
1084,1854,Cement,
1085,1855,Cement,
1086,1856,Cement,
1087,1857,Cement,
1088,1858,Cement,
1089,1859,Cement,
1090,1860,Cement,
1091,1861,Cement,
1092,1862,Cement,
1093,1863,Cement,
1094,1864,Cement,
1095,1865,Cement,
1096,1866,Cement,
1097,1867,Cement,
1098,1868,Cement,
1099,1869,Cement,
1100,1870,Cement,
1101,1871,Cement,
1102,1872,Cement,
1103,1873,Cement,
1104,1874,Cement,
1105,1875,Cement,
1106,1876,Cement,
1107,1877,Cement,
1108,1878,Cement,
1109,1879,Cement,
1110,1880,Cement,
1111,1881,Cement,
1112,1882,Cement,
1113,1883,Cement,
1114,1884,Cement,
1115,1885,Cement,
1116,1886,Cement,
1117,1887,Cement,
1118,1888,Cement,
1119,1889,Cement,
1120,1890,Cement,
1121,1891,Cement,
1122,1892,Cement,
1123,1893,Cement,
1124,1894,Cement,
1125,1895,Cement,
1126,1896,Cement,
1127,1897,Cement,
1128,1898,Cement,
1129,1899,Cement,
1130,1900,Cement,
1131,1901,Cement,
1132,1902,Cement,
1133,1903,Cement,
1134,1904,Cement,
1135,1905,Cement,
1136,1906,Cement,
1137,1907,Cement,
1138,1908,Cement,
1139,1909,Cement,
1140,1910,Cement,
1141,1911,Cement,
1142,1912,Cement,
1143,1913,Cement,
1144,1914,Cement,
1145,1915,Cement,
1146,1916,Cement,
1147,1917,Cement,
1148,1918,Cement,
1149,1919,Cement,
1150,1920,Cement,
1151,1921,Cement,
1152,1922,Cement,
1153,1923,Cement,
1154,1924,Cement,
1155,1925,Cement,
1156,1926,Cement,
1157,1927,Cement,
1158,1928,Cement,2.52
1159,1929,Cement,2.903
1160,1930,Cement,2.736
1161,1931,Cement,2.763
1162,1932,Cement,2.833
1163,1933,Cement,3.326
1164,1934,Cement,3.531
1165,1935,Cement,4.525
1166,1936,Cement,5.222
1167,1937,Cement,5.3
1168,1938,Cement,3.804
1169,1939,Cement,4.43
1170,1940,Cement,3.313
1171,1941,Cement,6.377
1172,1942,Cement,5.367
1173,1943,Cement,4.792
1174,1944,Cement,3.972
1175,1945,Cement,2.255
1176,1946,Cement,2.354
1177,1947,Cement,2.701
1178,1948,Cement,3.223
1179,1949,Cement,4.742
1180,1950,Cement,6.325
1181,1951,Cement,8.663
1182,1952,Cement,9.561
1183,1953,Cement,11.407
1184,1954,Cement,13.691
1185,1955,Cement,14.24
1186,1956,Cement,17.006
1187,1957,Cement,19.682
1188,1958,Cement,22.114
1189,1959,Cement,26.272
1190,1960,Cement,32.137
1191,1961,Cement,30.684
1192,1962,Cement,34.167
1193,1963,Cement,36.948
1194,1964,Cement,41.595
1195,1965,Cement,45.465
1196,1966,Cement,51.997
